,linkID,interval0_COST,interval1_COST,interval2_COST,interval3_COST,interval4_COST,interval5_COST,interval6_COST,interval7_COST,interval8_COST,interval9_COST
0,0,31.832286348291333,31.832286348291333,31.832286348291333,31.832286348291333,31.832286348291333,31.832286348291333,31.832286348291333,31.832286348291333,31.832286348291333,31.832286348291333
1,1,18.781141988941744,18.781141988941744,18.781141988941744,18.781141988941744,18.781141988941744,18.781141988941744,18.781141988941744,18.781141988941744,18.781141988941744,18.781141988941744
2,2,25.910840886435782,25.910840886435782,25.910840886435782,25.910840886435782,25.910840886435782,25.910840886435782,25.910840886435782,25.910840886435782,25.910840886435782,25.910840886435782
3,3,25.230564269784015,25.230564269784015,25.230564269784015,25.230564269784015,25.230564269784015,25.230564269784015,25.230564269784015,25.230564269784015,25.230564269784015,25.230564269784015
4,4,28.125369913346344,28.125369913346344,28.125369913346344,28.125369913346344,28.125369913346344,28.125369913346344,28.125369913346344,28.125369913346344,28.125369913346344,28.125369913346344
5,5,35.62169866634251,35.62169866634251,35.62169866634251,35.62169866634251,35.62169866634251,35.62169866634251,35.62169866634251,35.62169866634251,35.62169866634251,35.62169866634251
6,6,32.337429324699606,32.337429324699606,32.337429324699606,32.337429324699606,32.337429324699606,32.337429324699606,32.337429324699606,32.337429324699606,32.337429324699606,32.337429324699606
7,7,51.74258328434705,51.74258328434705,51.74258328434705,51.74258328434705,51.74258328434705,51.74258328434705,51.74258328434705,51.74258328434705,51.74258328434705,51.74258328434705
8,8,31.030327039575848,31.030327039575848,31.030327039575848,31.030327039575848,31.030327039575848,31.030327039575848,31.030327039575848,31.030327039575848,31.030327039575848,31.030327039575848
9,9,35.123206775648825,35.123206775648825,35.123206775648825,35.123206775648825,35.123206775648825,35.123206775648825,35.123206775648825,35.123206775648825,35.123206775648825,35.123206775648825
10,10,55.27875217775075,55.27875217775075,55.27875217775075,55.27875217775075,55.27875217775075,55.27875217775075,55.27875217775075,55.27875217775075,55.27875217775075,55.27875217775075
11,11,71.9285785340922,71.9285785340922,71.9285785340922,71.9285785340922,71.9285785340922,71.9285785340922,71.9285785340922,71.9285785340922,71.9285785340922,71.9285785340922
12,12,74.18916845126734,74.18916845126734,74.18916845126734,74.18916845126734,74.18916845126734,74.18916845126734,74.18916845126734,74.18916845126734,74.18916845126734,74.18916845126734
13,13,93.26008940522236,93.26008940522236,93.26008940522236,93.26008940522236,93.26008940522236,93.26008940522236,93.26008940522236,93.26008940522236,93.26008940522236,93.26008940522236
14,14,28.727418209988137,28.727418209988137,28.727418209988137,28.727418209988137,28.727418209988137,28.727418209988137,28.727418209988137,28.727418209988137,28.727418209988137,28.727418209988137
15,15,32.16848944198372,32.16848944198372,32.16848944198372,32.16848944198372,32.16848944198372,32.16848944198372,32.16848944198372,32.16848944198372,32.16848944198372,32.16848944198372
